ALGÉRIE;Joueur ;HAMMOUDI FARID
ALGÉRIE;Joueur ;ZEBAIER BOUALEM
ALGÉRIE;Joueur ;BACHENE RABAH
ALGÉRIE;Joueur ;BOUTARFA SAMIR
ALGÉRIE;COACH ;KERDJOU ABDELMALEK
ALLEMAGNE;Joueur ;LAUKART MATTHIAS
ALLEMAGNE;Joueur ;MULLER TOBIAS
ALLEMAGNE;Joueur ;REICHERT DANIEL
ALLEMAGNE;Joueur ;ROSIK MORITZ
ALLEMAGNE;COACH ;KOCH SASCHA
ANGLETERRE;Joueur ;HUNTLEY JEREMY
ANGLETERRE;Joueur ;BLOWS JACK
ANGLETERRE;Joueur ;EVERSDEN MATTHEW
ANGLETERRE;Joueur ;LOMBARD CALLUM
ANGLETERRE;COACH ;SEWELL JONATHAN
ARGENTINE;Joueur ;MONTEMERLO GUILLERMO SEBASTIAN
ARGENTINE;Joueur ;SANCHEZ PEDRO DANIEL RUBEN
ARGENTINE;Joueur ;GUEVARA NESTOR OMAR
ARGENTINE;Joueur ;GASPARI JOSE MIGUEL
ARGENTINE;COACH ;
AUSTRALIE;Joueur ;BOUDAN CHRISTOPHER
AUSTRALIE;Joueur ;CLARKE KIERRAN
AUSTRALIE;Joueur ;MASSON DENIS
AUSTRALIE;Joueur ;RAMOND GUILLAUME
AUSTRALIE;COACH ;PRETESEILLE MICHEL
AUTRICHE;Joueur ;RIEPL TOBIAS
AUTRICHE;Joueur ;KALNOKY STEFAN
AUTRICHE;Joueur ;NEWERKLA NIKOLAUS
AUTRICHE;Joueur ;NEWERKLA MARIS
AUTRICHE;COACH ;SPIELBERGER PETER
BELGIQUE;Joueur ;WEIBEL CHARLES
BELGIQUE;Joueur ;BATON LOGAN
BELGIQUE;Joueur ;UYTTERHOEVEN FABRICE
BELGIQUE;Joueur ;MASUY MICKAEL
BELGIQUE;COACH ;MOENS GUSTAVE
BÉNIN;Joueur ;BIO MARCEL
BÉNIN;Joueur ;GBETABLE MARCEL
BÉNIN;Joueur ;AGONKAN ABDIAS EMMANUEL
BÉNIN;Joueur ;FAGBOHOUN ABIOLA ROLAND
BÉNIN;COACH ;BABAGBETO THIERRY
BURKINA FASO;Joueur ;BAGUIAN MOUSTAPHA
BURKINA FASO;Joueur ;OUEDRAOGO OUSMANE
BURKINA FASO;Joueur ;ZANGRÉ THEODORE
